"date","mktrf","smb","hml","rmw","cma","rf"
2012-01-03,0.015,-0.0011,0.0093,-0.0074,-0.0017,0
2012-01-04,0,-0.0061,3e-04,0.0031,-6e-04,0
2012-01-05,0.0039,0.0019,0.0019,-0.004,7e-04,0
2012-01-06,-0.0019,-4e-04,-0.0027,-3e-04,-3e-04,0
2012-01-09,0.0028,0.0026,-6e-04,-0.0021,0.0026,0
2012-01-10,0.0097,0.0038,0.0038,-0.008,0,0
2012-01-11,0.0013,0.0015,0.0032,-0.0083,0.0024,0
2012-01-12,0.0031,0.0028,0,-0.0021,5e-04,0
2012-01-13,-0.0052,-0.0023,-0.0043,0.0064,0.001,0
2012-01-17,0.0036,-0.0012,-0.0075,0.0063,-0.0033,0
2012-01-18,0.0122,0.0058,0.0019,-0.0066,-0.0013,0
2012-01-19,0.0051,-0.0015,-0.0021,-0.0018,-0.0022,0
2012-01-20,3e-04,0.0028,0.0065,0,0.001,0
2012-01-23,2e-04,-0.0023,0.0016,0.0029,-0.004,0
2012-01-24,0,0.0073,-0.0032,-0.004,-0.0022,0
2012-01-25,0.0091,6e-04,-0.008,0.0032,-0.0019,0
2012-01-26,-0.0059,0.0021,-0.0045,0.0025,-5e-04,0
2012-01-27,1e-04,0.0081,-0.0013,-0.0033,-0.0014,0
2012-01-30,-0.0031,-0.0046,-0.0029,0.0046,3e-04,0
2012-01-31,-5e-04,-4e-04,1e-04,-6e-04,-0.0014,0
2012-02-01,0.011,0.0108,0.0038,-0.0052,0.0029,0
2012-02-02,0.0017,0.0037,1e-04,-0.0046,1e-04,0
2012-02-03,0.0158,0.0062,0.0038,-0.007,-0.0021,0
2012-02-06,-5e-04,-0.0028,-0.0021,-3e-04,-0.0022,0
2012-02-07,0.0016,-0.0028,-9e-04,0.0017,1e-04,0
2012-02-08,0.0025,-0.001,0.0046,-0.002,1e-04,0
2012-02-09,0.0015,-0.0038,-0.0031,0.0023,3e-04,0
2012-02-10,-0.0075,-0.0059,-5e-04,0.003,0.0014,0
2012-02-13,0.0075,0.0058,-6e-04,-0.0022,2e-04,0
2012-02-14,-9e-04,-0.0039,-0.0036,0.0055,-0.0021,0
2012-02-15,-0.005,-0.0027,9e-04,-0.0015,7e-04,0
2012-02-16,0.0127,0.0069,0.0033,-0.0029,-0.0016,0
2012-02-17,0.0016,-0.0023,0.0051,9e-04,0.0029,0
2012-02-21,-5e-04,-0.0061,0.0026,0.0018,-0.0033,0
2012-02-22,-0.0039,-0.0039,-0.0066,0.0046,-0.0015,0
2012-02-23,0.0056,0.009,-3e-04,-0.0044,0.0023,0
2012-02-24,0.0015,-0.0049,-0.0064,0.0018,-0.002,0
2012-02-27,0.0014,-0.0014,0.0037,4e-04,0.0013,0
2012-02-28,0.0028,-0.006,-0.0011,0.0015,-3e-04,0
2012-02-29,-0.0055,-0.0105,0.0016,0.0019,0.0029,0
2012-03-01,0.0064,-0.0016,6e-04,-4e-04,-7e-04,0
2012-03-02,-0.0046,-0.0125,-6e-04,0.0015,0.0035,0
2012-03-05,-0.004,0.0047,0.0028,0.0019,0.0036,0
2012-03-06,-0.0162,-0.0032,-0.0036,0.0054,-0.0021,0
2012-03-07,0.008,0.003,0.0028,-0.0038,5e-04,0
2012-03-08,0.0107,0.0037,-0.0025,-0.0017,7e-04,0
2012-03-09,0.0049,0.009,0.0016,-0.0022,1e-04,0
2012-03-12,-7e-04,-0.0021,-7e-04,0.0029,6e-04,0
2012-03-13,0.0186,0.0016,0.0097,-0.0073,-4e-04,0
2012-03-14,-0.0023,-0.0063,-0.002,0.0042,0.0016,0
2012-03-15,0.0067,0.003,0.0051,-0.0056,0.0018,0
2012-03-16,6e-04,-0.0029,0.0037,-0.0044,-0.0018,0
2012-03-19,0.0041,0.0051,-4e-04,-0.0013,-0.0035,0
2012-03-20,-0.0039,-0.0061,0.003,6e-04,0.0013,0
2012-03-21,-0.001,0.0028,-0.0041,0.0012,9e-04,0
2012-03-22,-0.0074,-0.0013,-0.0045,0.0058,-3e-04,0
2012-03-23,0.0039,0.0059,0.0036,-0.0035,-0.0021,0
2012-03-26,0.0145,0.0048,-0.0021,0.0011,-0.0017,0
2012-03-27,-0.003,-0.0038,-0.0034,6e-04,-0.0012,0
2012-03-28,-0.0052,0,0.005,-0.0022,0.0038,0
2012-03-29,-0.0016,-5e-04,-0.0027,0.0018,0.0011,0
2012-03-30,0.0028,-0.007,-4e-04,-1e-04,0.0017,0
2012-04-02,0.0077,0.0036,7e-04,0.0014,-0.0033,0
2012-04-03,-0.0034,-0.0032,-0.0028,0.0018,0.002,0
2012-04-04,-0.0111,-0.006,-4e-04,0.0031,0.0034,0
2012-04-05,-3e-04,-0.0012,-0.0042,0.0022,-0.0018,0
2012-04-09,-0.0121,-0.0044,-8e-04,0.0054,0.0017,0
2012-04-10,-0.0185,-0.0043,9e-04,0.0024,7e-04,0
2012-04-11,0.0085,0.008,0.0027,-0.0031,0.0015,0
2012-04-12,0.0144,7e-04,0.0029,-0.0051,-0.0019,0
2012-04-13,-0.0125,-0.0019,-0.0075,0.0073,9e-04,0
2012-04-16,-9e-04,0.0019,0.0082,-0.0019,0.0043,0
2012-04-17,0.0155,4e-04,-0.0021,-0.0012,-0.0035,0
2012-04-18,-0.0043,-0.0047,-0.0045,0.0038,-0.0011,0
2012-04-19,-0.0057,-4e-04,0.0025,-0.0026,0.0031,0
2012-04-20,0.0011,0.0051,-0.001,0.0038,0.0061,0
2012-04-23,-0.0095,-0.0051,0.0015,7e-04,0,0
2012-04-24,0.0029,0.0029,0.0091,-0.006,0.0069,0
2012-04-25,0.0144,0.0036,-0.0098,0.0027,-0.0073,0
2012-04-26,0.0075,-3e-04,-6e-04,-0.0024,-0.0023,0
2012-04-27,0.0035,0.0068,-0.0025,0.0011,-0.0016,0
2012-04-30,-0.0049,-0.006,0,-3e-04,-0.0012,0
2012-05-01,0.0048,-0.0078,0.0041,-6e-04,4e-04,0
2012-05-02,-0.0015,0.0066,-0.0067,0.0045,0.0025,0
2012-05-03,-0.0092,-0.0063,1e-04,0.0042,0.0028,0
2012-05-04,-0.0162,-0.0024,0.0018,0.0016,0.0015,0
2012-05-07,4e-04,0.0014,0.0046,-0.0038,0.0029,0
2012-05-08,-0.0041,0.0034,0.0032,0.0013,0.0023,0
2012-05-09,-0.0062,0.0014,-0.0024,1e-04,-0.001,0
2012-05-10,0.0029,8e-04,0.0056,-0.0012,0.005,0
2012-05-11,-0.0029,0.0012,-0.0107,0,-6e-04,0
2012-05-14,-0.0114,-0.0014,-0.0016,0.0011,4e-04,0
2012-05-15,-0.0052,0.0052,-0.0021,0.0037,1e-04,0
2012-05-16,-0.0044,-0.0017,-0.0044,0.0066,0.0024,0
2012-05-17,-0.0164,-0.0049,0.0038,0.001,-3e-04,0
2012-05-18,-0.008,-0.0015,7e-04,0.0016,0.0038,0
