"date","nasdaq_ret"
2012-01-03,0.016107
2012-01-04,-0.000596
2012-01-05,0.002928
2012-01-06,-0.00315
2012-01-09,0.002796
2012-01-10,0.010408
2012-01-11,0.000846
2012-01-12,0.003027
2012-01-13,-0.005323
2012-01-17,0.003895
2012-01-18,0.01219
2012-01-19,0.005571
2012-01-20,0.00086
2012-01-23,0.001597
2012-01-24,-0.000861
2012-01-25,0.009929
2012-01-26,-0.004938
2012-01-27,0.00058
2012-01-30,-0.003802
2012-01-31,-9e-05
2012-02-01,0.011016
2012-02-02,0.001764
2012-02-03,0.014536
2012-02-06,-0.001006
2012-02-07,0.001374
2012-02-08,0.001941
2012-02-09,0.000974
2012-02-10,-0.00841
2012-02-13,0.00723
2012-02-14,-0.001725
2012-02-15,-0.00449
2012-02-16,0.012353
2012-02-17,0.001313
2012-02-21,0.000132
2012-02-22,-0.003182
2012-02-23,0.005575
2012-02-24,0.001411
2012-02-27,0.000723
2012-02-28,0.002769
2012-02-29,-0.005799
2012-03-01,0.006708
2012-03-02,-0.004969
2012-03-05,-0.004627
2012-03-06,-0.017413
2012-03-07,0.007708
2012-03-08,0.010714
2012-03-09,0.0045
2012-03-12,-0.001421
2012-03-13,0.017273
2012-03-14,-0.003954
2012-03-15,0.006472
2012-03-16,0.001244
2012-03-19,0.003986
2012-03-20,-0.004522
2012-03-21,-0.001157
2012-03-22,-0.008173
2012-03-23,0.004468
2012-03-26,0.0139
2012-03-27,-0.003749
2012-03-28,-0.005792
2012-03-29,-0.00193
2012-03-30,0.003295
2012-04-02,0.007938
2012-04-03,-0.004612
2012-04-04,-0.011843
2012-04-05,-0.001052
2012-04-09,-0.011402
2012-04-10,-0.018039
2012-04-11,0.008385
2012-04-12,0.015051
2012-04-13,-0.01241
2012-04-16,-0.000592
2012-04-17,0.014946
2012-04-18,-0.004052
2012-04-19,-0.004712
2012-04-20,0.001614
2012-04-23,-0.009599
2012-04-24,0.003241
2012-04-25,0.013728
2012-04-26,0.006712
2012-04-27,0.003837
2012-04-30,-0.004339
2012-05-01,0.004843
2012-05-02,-0.002183
2012-05-03,-0.010092
2012-05-04,-0.015738
2012-05-07,0.000515
2012-05-08,-0.005466
2012-05-09,-0.006301
2012-05-10,0.002655
2012-05-11,-0.00293
2012-05-14,-0.012257
2012-05-15,-0.006167
2012-05-16,-0.005164
2012-05-17,-0.01595
2012-05-18,-0.008158
2012-05-21,0.017735
2012-05-22,-0.000545
2012-05-23,0.002754
2012-05-24,0.000872
2012-05-25,-0.001558
2012-05-29,0.011089
2012-05-30,-0.015751
2012-05-31,-0.002063
2012-06-01,-0.024632
2012-06-04,-0.001044
2012-06-05,0.007834
2012-06-06,0.022492
2012-06-07,-0.00144
2012-06-08,0.007097
2012-06-11,-0.014006
2012-06-12,0.011623
2012-06-13,-0.007358
2012-06-14,0.009472
2012-06-15,0.010032
2012-06-18,0.002162
2012-06-19,0.011571
2012-06-20,-0.001539
2012-06-21,-0.023684
2012-06-22,0.007245
2012-06-25,-0.015561
2012-06-26,0.004828
2012-06-27,0.008742
2012-06-28,-0.002156
2012-06-29,0.025476
2012-07-02,0.003733
2012-07-03,0.008806
2012-07-05,-0.004155
2012-07-06,-0.010199
2012-07-09,-0.002216
2012-07-10,-0.008826
2012-07-11,-0.000406
2012-07-12,-0.00491
2012-07-13,0.01524
2012-07-16,-0.002482
2012-07-17,0.006703
2012-07-18,0.006155
2012-07-19,0.002764
2012-07-20,-0.009942
2012-07-23,-0.010186
2012-07-24,-0.009475
2012-07-25,0.000691
2012-07-26,0.01549
2012-07-27,0.018833
2012-07-30,-0.000826
2012-07-31,-0.005003
2012-08-01,-0.004648
2012-08-02,-0.007397
2012-08-03,0.019092
2012-08-06,0.003511
2012-08-07,0.006332
2012-08-08,-0.000104
2012-08-09,0.001346
2012-08-10,0.001836
2012-08-13,-0.002082
2012-08-14,-0.000148
2012-08-15,0.002475
2012-08-16,0.007849
2012-08-17,0.002632
2012-08-20,-0.00065
2012-08-21,-0.002373
2012-08-22,-0.000167
2012-08-23,-0.007344
2012-08-24,0.005358
2012-08-27,-0.000581
2012-08-28,0.000219
2012-08-29,0.000735
2012-08-30,-0.007949
2012-08-31,0.005873
2012-09-04,0.000581
2012-09-05,-0.000789
2012-09-06,0.01932
2012-09-07,0.005607
2012-09-10,-0.005726
2012-09-11,0.003421
2012-09-12,0.00233
2012-09-13,0.015172
2012-09-14,0.006129
2012-09-17,-0.00458
2012-09-18,-0.001811
2012-09-19,0.001252
2012-09-20,-0.002063
2012-09-21,0.000369
2012-09-24,-0.003212
2012-09-25,-0.010915
2012-09-26,-0.005774
2012-09-27,0.009956
2012-09-28,-0.004529
2012-10-01,0.002708
2012-10-02,0.00114
2012-10-03,0.00235
2012-10-04,0.007662
2012-10-05,-0.000375
2012-10-08,-0.003568
2012-10-09,-0.009789
2012-10-10,-0.005616
2012-10-11,0.001584
2012-10-12,-0.003535
2012-10-15,0.00723
2012-10-16,0.009939
2012-10-17,0.005004
2012-10-18,-0.002759
2012-10-19,-0.015628
2012-10-22,0.000163
2012-10-23,-0.013005
2012-10-24,-0.002619
2012-10-25,0.003285
2012-10-26,-0.001387
2012-10-31,0.002185
2012-11-01,0.011104
2012-11-02,-0.009799
2012-11-05,0.002058
2012-11-06,0.007713
2012-11-07,-0.021702
2012-11-08,-0.011618
2012-11-09,0.000906
2012-11-12,-0.000216
2012-11-13,-0.004437
2012-11-14,-0.014991
2012-11-15,-0.003096
2012-11-16,0.006099
2012-11-19,0.019052
2012-11-20,0.000894
2012-11-21,0.003101
2012-11-23,0.012626
2012-11-26,-0.001687
2012-11-27,-0.004503
2012-11-28,0.007177
2012-11-29,0.004977
2012-11-30,0.000264
