permno,date,ticker,prc,ret,shrout,vol
10107,03-01-2012,MSFT,26.765,0.031009,8390771,64904929
10107,04-01-2012,MSFT,27.4,0.023725,8390771,80655906
10107,05-01-2012,MSFT,27.68,0.010219,8390771,56187134
10107,06-01-2012,MSFT,28.105,0.015354,8390771,99592966
10107,09-01-2012,MSFT,27.74,-0.012987,8390771,59837254
10107,10-01-2012,MSFT,27.84,0.003605,8390771,60148200
10107,11-01-2012,MSFT,27.72,-0.00431,8390771,65831197
10107,12-01-2012,MSFT,28,0.010101,8390771,49485316
10107,13-01-2012,MSFT,28.25,0.008929,8390771,60377624
10107,17-01-2012,MSFT,28.255,0.000177,8390771,72511088
10107,18-01-2012,MSFT,28.23,-0.000885,8390771,65022787
10107,19-01-2012,MSFT,28.12,-0.003897,8390771,74186668
10107,20-01-2012,MSFT,29.71,0.056543,8390771,168142798
10107,23-01-2012,MSFT,29.73,0.000673,8390771,76444183
10107,24-01-2012,MSFT,29.34,-0.013118,8390771,51850068
10107,25-01-2012,MSFT,29.56,0.007498,8390771,59390771
10107,26-01-2012,MSFT,29.5,-0.00203,8390771,49258967
10107,27-01-2012,MSFT,29.23,-0.009153,8390771,44324011
10107,30-01-2012,MSFT,29.61,0.013,8390771,51269638
10107,31-01-2012,MSFT,29.53,-0.002702,8390771,50685670
10107,01-02-2012,MSFT,29.89,0.012191,8390771,67556405
10107,02-02-2012,MSFT,29.95,0.002007,8390771,52351788
10107,03-02-2012,MSFT,30.24,0.009683,8390771,41948878
10107,06-02-2012,MSFT,30.2,-0.001323,8390771,28121704
10107,07-02-2012,MSFT,30.35,0.004967,8390771,39335032
10107,08-02-2012,MSFT,30.66,0.010214,8390771,49747606
10107,09-02-2012,MSFT,30.77,0.003588,8390771,50592478
10107,10-02-2012,MSFT,30.495,-0.008937,8390771,44887629
10107,13-02-2012,MSFT,30.58,0.002787,8390771,33425536
10107,14-02-2012,MSFT,30.25,-0.004251,8390771,59789961
10107,15-02-2012,MSFT,30.05,-0.006612,8390771,43420472
10107,16-02-2012,MSFT,31.285,0.041098,8390771,94913610
10107,17-02-2012,MSFT,31.25,-0.001119,8390771,70191007
10107,21-02-2012,MSFT,31.44,0.00608,8390771,50956907
10107,22-02-2012,MSFT,31.27,-0.005407,8390771,49411777
10107,23-02-2012,MSFT,31.37,0.003198,8390771,35175947
10107,24-02-2012,MSFT,31.48,0.003506,8390771,35745039
10107,27-02-2012,MSFT,31.35,-0.00413,8390771,34679026
10107,28-02-2012,MSFT,31.87,0.016587,8390771,45309103
10107,29-02-2012,MSFT,31.74,-0.004079,8390771,59474774
10107,01-03-2012,MSFT,32.29,0.017328,8390771,77593820
10107,02-03-2012,MSFT,32.075,-0.006658,8390771,47441069
10107,05-03-2012,MSFT,31.8,-0.008574,8390771,45403890
10107,06-03-2012,MSFT,31.555,-0.007704,8390771,52119557
10107,07-03-2012,MSFT,31.84,0.009032,8390771,34457175
10107,08-03-2012,MSFT,32.01,0.005339,8390771,36855703
10107,09-03-2012,MSFT,31.99,-0.000625,8390771,34728254
10107,12-03-2012,MSFT,32.04,0.001563,8390771,34175802
10107,13-03-2012,MSFT,32.67,0.019663,8390771,49078659
10107,14-03-2012,MSFT,32.77,0.003061,8390771,42119431
10107,15-03-2012,MSFT,32.85,0.002441,8390771,49183458
10107,16-03-2012,MSFT,32.6,-0.00761,8390771,65743000
10107,19-03-2012,MSFT,32.2,-0.01227,8390771,44962072
